focl_name,region,district,subcontr_name,start_build_date,end_build_date
Сашкино  с.,Калужская,Ферзиковский,3С,01.06.16,30.06.16
Стрельна с.,Калужская,Сухиничский,3С,01.06.16,30.06.16
Брынь   с.,Калужская,Сухиничский,3С,01.06.16,30.06.16
Соболевка  д.,Калужская,Сухиничский,3С,01.06.16,30.06.16
Татаринцы  с.,Калужская,Сухиничский,3С,01.06.16,30.06.16
Дабужа с.,Калужская,Сухиничский,3С,01.06.16,30.06.16
Малая Песочня   д.,Калужская,Кировский,3С,01.06.16,30.06.16
Большие Савки      д.,Калужская,Кировский,3С,01.06.16,30.06.16
Волое   с.,Калужская,Кировский,3С,01.06.16,30.06.16
Якимово  д.,Калужская,Кировский,3С,01.06.16,30.06.16
Фоминичи  с.,Калужская,Кировский,3С,01.06.16,30.06.16
