focl_name,region,district,subcontr_name,start_build_date,end_build_date
Ново-Михайловское д.,Смоленская,Дорогобужский,3С,01.06.16,30.06.16
Садовая д.,Смоленская,Дорогобужский,3С,01.06.16,30.06.16
Добрино д.,Смоленская,Духовщинский,3С,01.06.16,30.06.16
Мольково д.,Смоленская,Кардымовский,3С,01.06.16,30.06.16
Прудки-1 д.,Смоленская,Починковский,3С,01.06.16,30.06.16
Чижовка-2 д.,Смоленская,Рославльский,3С,01.06.16,30.06.16
Лесники д.,Смоленская,Рославльский,3С,01.06.16,30.06.16
Дроздово д.,Смоленская,Сафоновский,3С,01.06.16,30.06.16
Дурово д.,Смоленская,Сафоновский,3С,01.06.16,30.06.16
Николо-Погорелое д.,Смоленская,Сафоновский,3С,01.06.16,30.06.16
Ликурга с.,Костромская,Буйский,Яр-телеком,01.06.16,30.06.16
Кужбал с.,Костромская,Нейский,Яр-телеком,01.06.16,30.06.16
Луптюг с.,Костромская,Октябрьский,Яр-телеком,01.06.16,30.06.16
Леденгск с.,Костромская,Павинский,Яр-телеком,01.06.16,30.06.16
Андреевское с.,Костромская,Сусанинский,Яр-телеком,01.06.16,30.06.16
Ножкино с.,Костромская,Чухломский,Яр-телеком,01.06.16,30.06.16
Троицкое с.,Костромская,Шарьинский,Яр-телеком,01.06.16,30.06.16
Камышеватое с.,Белгородская,Алексеевский,скс-пром,01.06.16,30.06.16
Славгородское с.,Белгородская,Алексеевский,скс-пром,01.06.16,30.06.16
Калитва с.,Белгородская,Алексеевский,скс-пром,01.06.16,30.06.16
Алейниково с.,Белгородская,Алексеевский,скс-пром,01.06.16,30.06.16
Хрещатый х.,Белгородская,Алексеевский,скс-пром,01.06.16,30.06.16
Меняйлово с.,Белгородская,Алексеевский,скс-пром,01.06.16,30.06.16
Тулянка с.,Белгородская,Валуйский,скс-пром,01.06.16,30.06.16
Ураево с.,Белгородская,Валуйский,скс-пром,01.06.16,30.06.16
Яблоново с.,Белгородская,Валуйский,скс-пром,01.06.16,30.06.16
Дальний п.,Белгородская,Валуйский,скс-пром,01.06.16,30.06.16
Храпово с.,Белгородская,Валуйский,скс-пром,01.06.16,30.06.16
Колесников х.,Белгородская,Вейделевский,скс-пром,01.06.16,30.06.16
Кубраки с.,Белгородская,Вейделевский,скс-пром,01.06.16,30.06.16
Ровны с.,Белгородская,Вейделевский,скс-пром,01.06.16,30.06.16
Саловка с.,Белгородская,Вейделевский,скс-пром,01.06.16,30.06.16
Березовка с.,Белгородская,Ивнянский,скс-пром,01.06.16,30.06.16
Драгунка с.,Белгородская,Ивнянский,скс-пром,01.06.16,30.06.16
Сафоновка с.,Белгородская,Ивнянский,скс-пром,01.06.16,30.06.16
Сухосолотино с.,Белгородская,Ивнянский,скс-пром,01.06.16,30.06.16
Федчевка с.,Белгородская,Ивнянский,скс-пром,01.06.16,30.06.16
Сырцево с.,Белгородская,Ивнянский,скс-пром,01.06.16,30.06.16
Бубново с.,Белгородская,Корочанский,скс-пром,01.06.16,30.06.16
Соколовка с.,Белгородская,Корочанский,скс-пром,01.06.16,30.06.16
Хмелевое с.,Белгородская,Корочанский,скс-пром,01.06.16,30.06.16
Большое с.,Белгородская,Красненский,скс-пром,01.06.16,30.06.16
Хмелевое с.,Белгородская,Красненский,скс-пром,01.06.16,30.06.16
Плота с.,Белгородская,Прохоровский,скс-пром,01.06.16,30.06.16
Ржавец с.,Белгородская,Прохоровский,скс-пром,01.06.16,30.06.16
Зиборовка с.,Белгородская,Шебекинский,скс-пром,01.06.16,30.06.16
Никольское с.,Белгородская,Шебекинский,скс-пром,01.06.16,30.06.16
Десна п.,Брянская,Выгоничский,3С,01.06.16,30.06.16
Катичи с.,Брянская,Новозыбковский,3С,01.06.16,30.06.16
Новое Место с.,Брянская,Новозыбковский,3С,01.06.16,30.06.16
Чеховка с.,Брянская,Погарский,3С,01.06.16,30.06.16
Вятский Посад п.,Орловская,Орловский,3С,01.06.16,30.06.16
Лубянки с.,Орловская,Дмитровский,3С,01.06.16,30.06.16
Коряково д.,Калужская,Боровский,3С,01.06.16,30.06.16
Адуево  с.,Калужская,Медынский,3С,01.06.16,30.06.16
Радюкино  д.,Калужская,Медынский,3С,01.06.16,30.06.16
Кременское  с.,Калужская,Медынский,3С,01.06.16,30.06.16
Передел  с.,Калужская,Медынский,3С,01.06.16,30.06.16
Романово  д.,Калужская,Медынский,3С,01.06.16,30.06.16
Барятино с.,Калужская,Тарусский,3С,01.06.16,30.06.16
Кузьмищево  с.,Калужская,Тарусский,3С,01.06.16,30.06.16
Вознесенье  с.,Калужская,Тарусский,3С,01.06.16,30.06.16
Некрасово с.,Калужская,Тарусский,3С,01.06.16,30.06.16
Алекино д.,Калужская,Тарусский,3С,01.06.16,30.06.16
Беляево д.,Калужская,Юхновский,3С,01.06.16,30.06.16
Климов Завод  с.,Калужская,Юхновский,3С,01.06.16,30.06.16
Рыляки д.,Калужская,Юхновский,3С,01.06.16,30.06.16
Колыхманово д.,Калужская,Юхновский,3С,01.06.16,30.06.16
Порослицы д.,Калужская,Юхновский,3С,01.06.16,30.06.16
Макарово  с.,Калужская,Перемышльский,3С,01.06.16,30.06.16
Покровское д.,Калужская,Перемышльский,3С,01.06.16,30.06.16
Хотисино д.,Калужская,Перемышльский,3С,01.06.16,30.06.16
Зудна д.,Калужская,Ферзиковский,3С,01.06.16,30.06.16
Красный Городок  д.,Калужская,Ферзиковский,3С,01.06.16,30.06.16
