region,region_code,district,focl_name,focl_id
Тамбовская,68,Мичуринский,с. Ярок,2
Тамбовская,68,Мичуринский,с. Новое Хмелевое,3
Тамбовская,68,Бондарский,с. Кривополянье,30
Тамбовская,68,Бондарский,с. Максимовка,31
Тамбовская,68,Бондарский,д. Шача Молоканская,32
Тамбовская,68,Бондарский,с. Коровино,33
Тамбовская,68,Бондарский,с. Митрополье,34
Тамбовская,68,Бондарский,с. Верхнее Нащёкино,35
Тамбовская,68,Бондарский,н.п. Озёрный,36
Тамбовская,68,Бондарский,с. Прибытки,37
Тамбовская,68,Гавриловский,д. Бессоновка,65
Тамбовская,68,Гавриловский,с. Глуховка,66
Тамбовская,68,Гавриловский,д. Старая Рожковка,67
Тамбовская,68,Гавриловский,с. Дмитриевка,68
Тамбовская,68,Гавриловский,с. Кондаурово,69
Тамбовская,68,Гавриловский,д. Ольшанка,70
Тамбовская,68,Гавриловский,с. Чуповка,71
Тамбовская,68,Токаревский,д. Величкино,136
Тамбовская,68,Токаревский,с. Васильевка,137
Тамбовская,68,Токаревский,д. Ястребовка,138
Тамбовская,68,Токаревский,с. Кочетовка,139
Тамбовская,68,Токаревский,с. Малая Даниловка,140
Тамбовская,68,Токаревский,д. Петровское (Львовский с/с),141
Тамбовская,68,Токаревский,д. Петровское (Васильевский с/с),142
Тамбовская,68,Токаревский,с. Малая Зверяевка,143
Тамбовская,68,Токаревский,д. Старогрязное,144
Тамбовская,68,Токаревский,с.Новоникольское,145
Тамбовская,68,Токаревский,д. Чичерино,146
Тамбовская,68,Мичуринский,н.п. совхоза «Глазковский»,2584
Тамбовская,68,Мичуринский,с. Жидиловка,2585
Тамбовская,68,Мичуринский,н.п. Лесной Воронеж,2587
Тамбовская,68,Мичуринский,с. Терновое,2588
Тамбовская,68,Мичуринский,д. Хоботово,2589
Тамбовская,68,Мичуринский,д. Красиково,2590
Тамбовская,68,Мичуринский,с. Гаритово,2591
