region,region_code,district,focl_name,focl_id
Рязанская,62,Михайловский,п. Коровинского спиртзавода,2283
Рязанская,62,Михайловский,д. Каморино,2284
Рязанская,62,Михайловский,с. Печерники,2285
Рязанская,62,Михайловский,с. Рачатники,2286
Рязанская,62,Михайловский,д. Слободка,2287
Рязанская,62,Михайловский,п. Некрасово,2288
Рязанская,62,Михайловский,п. Трепольский,2289
Рязанская,62,Михайловский,"п. Центр. отд. совхоза ""Фрунзенский""",2290
Рязанская,62,Михайловский,с. Прудская,2291
Рязанская,62,Михайловский,с. Пушкари,2292
Рязанская,62,Михайловский,с. Малинки,2293
Рязанская,62,Михайловский,д.Поярково,2294
Рязанская,62,Милославский,с. Богородицкое,2336
Рязанская,62,Милославский,п. Горняк,2337
Рязанская,62,Милославский,с. Архангельское,2338
Рязанская,62,Милославский,с. Кочуры,2339
Рязанская,62,Милославский,п. Южный,2340
Рязанская,62,Милославский,с. Мураевня,2341
Рязанская,62,Милославский,с. Боршевое,2342
Рязанская,62,Милославский,с. Липяги,2343
Рязанская,62,Милославский,п. с/х Большевик,2344
Рязанская,62,Александро-Невский,д. Павловка,2345
Рязанская,62,Александро-Невский,с. Благие,2346
Рязанская,62,Александро-Невский,с. Студенки,2347
Рязанская,62,Александро-Невский,д. Борисовка,2348
Рязанская,62,Александро-Невский,с. Зимарово,2349
Рязанская,62,Александро-Невский,с. Бурминка,2350
Рязанская,62,Александро-Невский,с. Сергиевский Боровок,2351
Рязанская,62,Александро-Невский,с. Калинино,2352
Рязанская,62,Александро-Невский,с. Нижний Якимец,2353
Рязанская,62,Александро-Невский,с. Просечье,2354
Рязанская,62,Ряжский,с. Б. Алешня,2355
Рязанская,62,Ряжский,с. Турово,2356
Рязанская,62,Ряжский,с. Шереметьево,2357
Рязанская,62,Ряжский,с. Марчуки 2,2358
Рязанская,62,Ряжский,с. Подвислово,2359
Рязанская,62,Ряжский,п. Свет,2360
