region,region_code,district,focl_name,focl_id
Воронежская,36,Хохольский,с. Еманча 1-я,986
Воронежская,36,Хохольский,с. Никольское-на-Еманче,987
Воронежская,36,Каменский,с. Волчанское,1038
Воронежская,36,Каменский,х. Крутец,1039
Воронежская,36,Каменский,с. Дегтярное,1040
Воронежская,36,Каменский,с. Щербаково,1041
Воронежская,36,Каменский,с. Верхние Марки,1042
Воронежская,36,Каменский,х. Новиковский,1043
Воронежская,36,Каменский,с. Пилипы,1044
Воронежская,36,Каменский,с. Тхоревка,1045
Воронежская,36,Бутурлиновский,п. Малый Кисляй,1081
Воронежская,36,Бутурлиновский,д. Чернавка,1083
Воронежская,36,Бутурлиновский,с. Сериково,1084
Воронежская,36,Бутурлиновский,с. Елизаветино,1085
Воронежская,36,Бутурлиновский,с. Патокино,1415
Воронежская,36,Воробьевский,с. Верхнетолучеево,1417
Воронежская,36,Воробьевский,с. Елизаветовка,1418
Воронежская,36,Воробьевский,с. Нижний Бык,1419
Воронежская,36,Воробьевский,с. Банное,1421
Воронежская,36,Воробьевский,с. Каменка,1422
Воронежская,36,Ольховатский,п. Загирянка,1449
Воронежская,36,Ольховатский,п. Саловка,1450
Воронежская,36,Ольховатский,сл. Копаная 1-я,1451
Воронежская,36,Ольховатский,х. Дроздово,1452
Воронежская,36,Ольховатский,х. Постоялый,1453
Воронежская,36,Ольховатский,х. Назаровка,1454
Воронежская,36,Подгоренский,х. Луговой,1464
Воронежская,36,Подгоренский,с. Верхний Карабут,1465
Воронежская,36,Подгоренский,с. Березово,1466
Воронежская,36,Подгоренский,х. Красюковский,1467
Воронежская,36,Подгоренский,х. Саприно,1468
Воронежская,36,Подгоренский,с. Лыково,1469
Воронежская,36,Подгоренский,с. Андреевка,1470
Воронежская,36,Подгоренский,п. Пробуждение,1471
Воронежская,36,Подгоренский,с. Перевальное,1472
Воронежская,36,Подгоренский,х. Большая Хвощеватка,1473
Воронежская,36,Подгоренский,с. Семейка,1474
Воронежская,36,Подгоренский,х. Кулешовка,1475
Воронежская,36,Подгоренский,с. Юдино,1476
Воронежская,36,Подгоренский,с. Костомарово,1477
Воронежская,36,Петропавловский,х. Замостье,1498
Воронежская,36,Петропавловский,с. Новый Лиман,1499
Воронежская,36,Петропавловский,с. Дедовка,1500
Воронежская,36,Петропавловский,с. Фоменково,1501
