region,region_code,district,focl_name,focl_id
Смоленская,67,Глинковский,д. Петропавловка,2382
Смоленская,67,Глинковский,д. Добромино,2383
Смоленская,67,Холм-Жирковский,д. Агибалово,2401
Смоленская,67,Холм-Жирковский,ст. Канютино,2402
Смоленская,67,Сафоновский,д. Беленино,2412
Смоленская,67,Сафоновский,д. Мишенино,2413
Смоленская,67,Сафоновский,д. Богдановщина,2414
Смоленская,67,Сафоновский,с. Васильевское,2416
Смоленская,67,Сафоновский,д. Зимница,2419
Смоленская,67,Сафоновский,д. Кононово,2420
Смоленская,67,Сафоновский,д. Игнатково,2421
Смоленская,67,Сафоновский,д. Пушкино,2423
Смоленская,67,Сафоновский,д. Старое Село,2424
Смоленская,67,Смоленский,д. Волоковая,2432
Смоленская,67,Смоленский,д. Вязгино,2433
Смоленская,67,Смоленский,д. Самолюбово,2434
Смоленская,67,Смоленский,д. Аполье,2435
Смоленская,67,Смоленский,д. Гнездово,2436
Смоленская,67,Смоленский,д. Дачная-1,2437
Смоленская,67,Смоленский,д. Ракитня-2,2438
Смоленская,67,Смоленский,д. Киселевка,2440
Смоленская,67,Смоленский,п. Плембаза,2441
Смоленская,67,Смоленский,д. Синьково,2442
Смоленская,67,Смоленский,д. Лоино,2443
Смоленская,67,Смоленский,д. Ясенная,2444
Смоленская,67,Смоленский,д. Санники,2446
Смоленская,67,Смоленский,д. Нагать,2447
Смоленская,67,Смоленский,д. Бубново,2448
Смоленская,67,Смоленский,д. Дрюцк,2449
Смоленская,67,Смоленский,д. Архиповка,2450
Смоленская,67,Смоленский,д. Покорное,2451
Смоленская,67,Смоленский,д. Мазальцево,2452
Смоленская,67,Починковский,д. Васьково,2466
Смоленская,67,Починковский,д. Княжое-1,2467
Смоленская,67,Починковский,д. Льнозавод,2469
Смоленская,67,Починковский,д. Бояды,2471
Смоленская,67,Починковский,д. Сгригино,2472
Смоленская,67,Починковский,д. Мачулы,2473
Смоленская,67,Дорогобужский,д. Княщина,2485
Смоленская,67,Дорогобужский,д. Шаломино,2487
Смоленская,67,Дорогобужский,д. Усвятье,2488
Смоленская,67,Ельнинский,д. Старое Мутище,2510
Смоленская,67,Хиславичский,д. Иозефовка,2527
Смоленская,67,Хиславичский,д. Корзово,2528
Смоленская,67,Смоленский,д. Моготово,5856
