region,region_code,district,focl_name,focl_id
Карелия,10,Беломорский,п. Пушной,5601
Карелия,10,Беломорский,п. Н. Машезеро,5602
Карелия,10,Беломорский,ст. Сумпосад,5603
Карелия,10,Беломорский,с. Нюхча,5604
Вологодская,35,Вашкинский,п. Первомайский,5028
Вологодская,35,Вашкинский,п. Заречный,5029
Вологодская,35,Вашкинский,п. Бонга,5030
Архангельская,29,Верхнетоемский,п. Кодимский,4962
Архангельская,29,Верхнетоемский,с. Вознесенское,4963
Новгородская,53,Волотовский,д. Волот,5419
Новгородская,53,Волотовский,д. Городцы,5420
Ленинградская,47,Всеволожский,п. Ковалёво,5304
Ленинградская,47,Всеволожский,д. Кузьмолово,5305
Ленинградская,47,Всеволожский,д. Коккорево,5306
Ленинградская,47,Всеволожский,д. Невский парклесхоз,5307
Ленинградская,47,Всеволожский,д. Елизаветинка,5308
Ленинградская,47,Всеволожский,д. Капитолово,5309
Ленинградская,47,Всеволожский,д. Сярьги,5310
Ленинградская,47,Всеволожский,д. Энколово,5311
Ленинградская,47,Всеволожский,д. Новосергиевка,5312
Ленинградская,47,Всеволожский,д. Суоранда,5313
Ленинградская,47,Всеволожский,д. Янино-2,5314
Ленинградская,47,Всеволожский,д. Матокса,5315
Ленинградская,47,Всеволожский,местечко Карьер-Мяглово,5316
Ленинградская,47,Всеволожский,д. Мяглово,5317
Ленинградская,47,Всеволожский,п. ст. Корнево,5318
Ленинградская,47,Всеволожский,д. Плинтовка,5319
Ленинградская,47,Всеволожский,д. Щеглово,5320
Ленинградская,47,Всеволожский,п. Пески,5321
Ленинградская,47,Всеволожский,д. Грузино (ж/д станция),5322
Ленинградская,47,Всеволожский,д. Ириновка,5323
Вологодская,35,Вытегорский,п. Сорокополье,5004
Вологодская,35,Вытегорский,с. Александровское,5005
Вологодская,35,Вытегорский,п. Павшозеро,5006
Вологодская,35,Вытегорский,д. Анхимово,5007
Вологодская,35,Вытегорский,д. Палтога,5008
Вологодская,35,Вытегорский,с. Мегра,5009
Вологодская,35,Вытегорский,п. Янишево,5010
Псковская,60,Дновский,п. Дачное,5510
Псковская,60,Дновский,д. Филиппково,5511
Псковская,60,Дновский,д. Искра,5512
Псковская,60,Дновский,д. Скугры,5513
Псковская,60,Дновский,д. Морино,5514
Ненецкий,83,Заполярный,д.Лабожское,5391
Ненецкий,83,Заполярный,п.Бугрино,5392
Ненецкий,83,Заполярный,д.Коткино,5393
Ненецкий,83,Заполярный,с.Оксино,5394
Ненецкий,83,Заполярный,с.Тельвиска,5395
Ненецкий,83,Заполярный,п.Шойна,5396
Карелия,10,Калевальский,п. Куусиниеми,5575
Карелия,10,Калевальский,д. Юшкозеро,5576
Карелия,10,Калевальский,п. Н. Юшкозеро,5577
Карелия,10,Калевальский,п. Кепа,5578
Карелия,10,Калевальский,п. Луусалми,5579
Карелия,10,Кемский,п. Панозеро,5580
Карелия,10,Кемский,с. Кузема,5581
Псковская,60,Куньинский,д. Усмынь,5563
Псковская,60,Куньинский,д. Наумово,5564
Псковская,60,Куньинский,д. Шейкино,5565
Псковская,60,Куньинский,д. Ущицы,5566
Архангельская,29,Лешуконский,с.Ценогора,4996
Псковская,60,Локнянский,д. Подберезье,5536
Псковская,60,Локнянский,д. Прискуха,5537
Псковская,60,Локнянский,д. Крестилово,5538
Псковская,60,Локнянский,д. Михайлов Погост,5539
Карелия,10,Лоухский,п. Малиновая Варакка,5587
Карелия,10,Лоухский,п. Плотина,5588
Карелия,10,Лоухский,п. Тунгозеро,5589
Карелия,10,Лоухский,п. Софпорог,5590
Новгородская,53,Любытинский,д. Большой Городок,5397
Новгородская,53,Окуловский,д. Шуркино,5446
Новгородская,53,Окуловский,д. Полищи,5447
Новгородская,53,Окуловский,с. Берёзовик,5448
Новгородская,53,Окуловский,ж.д. ст. Торбино,5449
Ленинградская,47,Приозерский,п. Сторожевое,5297
Ленинградская,47,Приозерский,п. Красноармейское,5298
Ленинградская,47,Приозерский,п. Моторное,5299
Ленинградская,47,Приозерский,п. Тракторное,5300
Ленинградская,47,Приозерский,п. Понтонное,5301
Ленинградская,47,Приозерский,п. ст. Орехово,5302
Ленинградская,47,Приозерский,п. Платформа 69 км,5303
Карелия,10,Прионежский,д. Ужесельга,5627
Карелия,10,Прионежский,с. Рыбрека,5628
Карелия,10,Прионежский,п. Пай,5629
Карелия,10,Сегежский,п. Идель,5615
Карелия,10,Сегежский,п. Попов Порог,5616
Новгородская,53,Солецкий,д. Невское,5421
Новгородская,53,Солецкий,д. Сосновка,5422
Карелия,10,Сортавальский,п. Хюмпеля,5593
Карелия,10,Сортавальский,п. Валаам,5594
Карелия,10,Сортавальский,п. Пуйкола,5595
Карелия,10,Сортавальский,п. Партала,5596
Карелия,10,Сортавальский,п. Заозерный,5597
Вологодская,35,Устюженский,д. Малое Восное,5011
Вологодская,35,Устюженский,д. Лентьево,5012
Вологодская,35,Устюженский,д. Долоцкое,5013
Вологодская,35,Устюженский,д. Соболево,5014
Вологодская,35,Устюженский,д. Славынево,5015
Вологодская,35,Устюженский,д. Брилино,5016
Вологодская,35,Устюженский,п. Юбилейный,5017
Вологодская,35,Череповецкий,с. Воскресенское,5033
Вологодская,35,Череповецкий,с. Ивановское,5034
Вологодская,35,Череповецкий,п. Сосновка,5035
Вологодская,35,Череповецкий,с. Нелазское,5036
Вологодская,35,Череповецкий,п. Андогский,5037
Вологодская,35,Череповецкий,п. Кривец,5038
Вологодская,35,Череповецкий,с. Щетинское,5039
Вологодская,35,Череповецкий,д. Ягница,5040
Вологодская,35,Череповецкий,д. Шайма,5041
Новгородская,53,Чудовский,с. Оскуй,5401
Новгородская,53,Чудовский,д. Придорожная,5402
Новгородская,53,Чудовский,д. Сябреницы,5403
